GO-Slim term	Cluster frequency	Genome frequency	Genesannotatedtotheterm
rRNA processing	"74 out of 458 genes, 16.2%"	"311 of 6433 genes, 4.8%"	"BFR2,BMS1,CBF5,CSL4,DBP2,DHR2,DIM1,DIP2,DRS1,EBP2,ENP1,ESF2,FCF1,GLC7,HAS1,HCA4,IMP4,IPI1,IPI3,MAK16,MOT1,MPP10,MRD1,MTR3,NHP2,NIP7,NOC3,NOC4,NOP1,NOP10,NOP19,NOP4,NOP53,NOP56,NUG1,POP1,POP3,POP4,PRP43,PWP2,RLP7,ROK1,RPF1,RPL17A,RPL30,RPP1,RPS13,RPS31,RRP1,RRP12,RRP36,RRP42,RRP45,RRP5,RRP7,RRP9,RSP5,RVB2,SKI6,SNF6,SNM1,SNU13,TIF6,TSR4,URB1,UTP13,UTP15,UTP20,UTP22,UTP23,UTP25,UTP5,UTP6,UTP7"
transcription from RNA polymerase II promoter	"66 out of 458 genes, 14.4%"	"476 of 6433 genes, 7.4%"	"ADA2,ARP4,CDC28,CKS1,EPL1,FHL1,GAL11,GCR1,GLC7,HSF1,HTA1,HTB1,KAE1,MED11,MED4,MOT1,NAB3,NCB2,NRD1,PCF11,PHO4,PHO85,POB3,PTI1,RAD3,RAP1,RBA50,REB1,ROX3,RPB10,RPB11,RPB3,RPB5,RPB7,RPC10,RPT1,RPT3,RPT5,RSC2,RSC3,RSC4,RSC58,RSC6,RSP5,RVB1,RVB2,SFH1,SNF2,SNF4,SNF6,SPN1,SPP41,SPT16,SPT6,SRB6,SSL1,SSN3,SUB2,SWI3,TAF12,TAF4,TBF1,TFA1,TFA2,TFB2,TOA2"
protein complex biogenesis	"44 out of 458 genes, 9.6%"	"293 of 6433 genes, 4.6%"	"ARP2,ARP4,ASK1,CBF2,CDC3,CEP3,CLC1,CTF13,DAD2,DAM1,KAP95,MDM35,MOT1,NCB2,PET117,POB3,PRE2,PRE4,RCF1,RPN6,RPT1,RPT2,RPT3,RPT5,SAM50,SAR1,SCM3,SEC16,SEC23,SEC6,SEC65,SLD2,SPC24,SPC34,SPC97,SPT16,SPT6,STU2,TUB4,USO1,VPH2,VPS4,VPS45,YPT1"
chromatin organization	"39 out of 458 genes, 8.5%"	"318 of 6433 genes, 4.9%"	"ACT1,ADA2,ARP4,CDC28,CDC45,CDC48,CDC6,CKS1,EPL1,GCR1,GLC7,HTA1,HTB1,MCM7,NOP1,NUP145,ORC4,PHO4,POB3,POL30,RAP1,RSC2,RSC3,RSC4,RSC58,RSC6,RSP5,RVB1,RVB2,SFH1,SNF2,SNF6,SPN1,SPT16,SPT6,SUB2,SWI3,TAF12,TBF1"
ribosomal small subunit biogenesis	"37 out of 458 genes, 8.1%"	"135 of 6433 genes, 2.1%"	"BFR2,BMS1,DHR2,DIM1,DIP2,ENP1,ESF2,FCF1,HAS1,HRR25,IMP4,KRE33,MPP10,MRD1,NOC4,NOP19,PRP43,PWP2,ROK1,RPS13,RPS31,RRP12,RRP14,RRP36,RRP5,RRP7,SNU13,TSR4,UTP13,UTP15,UTP20,UTP22,UTP23,UTP25,UTP5,UTP6,UTP7"
Golgi vesicle transport	"37 out of 458 genes, 8.1%"	"191 of 6433 genes, 3%"	"ARL3,BET1,BET3,COG1,COG3,COG4,COP1,DOP1,HRR25,NEO1,RET2,SAR1,SEC10,SEC13,SEC16,SEC18,SEC20,SEC21,SEC22,SEC23,SEC24,SEC26,SEC27,SEC31,SEC6,SED5,SYS1,TIP20,TRS23,TRS31,USE1,USO1,VPS45,VPS53,YOS1,YPT1,YPT6"
cytoskeleton organization	"35 out of 458 genes, 7.6%"	"238 of 6433 genes, 3.7%"	"ACT1,ARC35,ARP2,ASK1,BBP1,CBF2,CDC14,CDC24,CDC28,CDC3,CDC37,CDC42,CDC48,CEP3,CTF13,DAD2,DAM1,EFB1,GLC7,LST8,MPS1,MPS2,PAN1,RHO1,RHO3,RSP5,RVS161,SAC6,SCD5,SDA1,SPC24,SPC34,SPC97,STU2,TUB4"
cellular response to DNA damage stimulus	"35 out of 458 genes, 7.6%"	"307 of 6433 genes, 4.8%"	"ACT1,ADA2,ARP4,CDC28,CDC45,EPL1,GLC7,HRR25,HTA1,HTB1,MCD1,MCM2,MCM4,MCM7,NSE1,NSE4,NUP145,PHO85,POL30,PSF1,RAD3,RAP1,RSC2,SCC2,SFH1,SLD2,SLD3,SMC1,SMC5,SNF2,SNF6,SSL1,SUB2,TFB2,TTI2"
mitotic cell cycle	"35 out of 458 genes, 7.6%"	"319 of 6433 genes, 5%"	"ACT1,ASK1,BRN1,CBF2,CDC14,CDC20,CDC24,CDC25,CDC28,CDC3,CDC42,CDC48,CDC55,CDC6,CEP3,CKS1,DBF4,GLC7,MCD1,MPS1,PAN1,PHO85,POL30,RHO1,SCC2,SCM3,SDA1,SLD2,SMC1,SMI1,SPT6,STU2,TUB4,ULP1,YCG1"
regulation of organelle organization	"34 out of 458 genes, 7.4%"	"283 of 6433 genes, 4.4%"	"ADA2,ARP2,ASK1,CDC14,CDC20,CDC24,CDC28,CDC42,CDC45,CDC48,CDC55,CDC6,CEP3,DAD2,DAM1,DBF4,EFB1,GLC7,MCM2,MPS1,PXR1,RAP1,RHO1,RHO3,RSP5,SAR1,SEC23,SEC6,SPC34,SPT6,TBF1,TEN1,VPS45,YCG1"
