0s,0.1431,0.1379,0.141,0.1472,0.1467,0.1516,0.1467,0.146,0.1486,0.1393,0.1406,0.1418,0.1497,0.1402,0.145,0.1516,0.1537,0.1561,0.154,0.1533,0.1509,0.146,0.1478,0.1482,0.0874,0.0879,0.0879,0.087,0.0875,0.0872,0.1375,0.1333,0.134,0.1435,0.1414,0.1447,0.0891,0.0882,0.0878,0.0888,0.088,0.087,0.1482,0.1381,0.1361,0.1541,0.148,0.1437,0.0876,0.0875,0.0902,0.0877,0.0888,0.0869,0.0866,0.087,0.089,0.0851,0.0862,0.086,0.0886,0.087,0.0869,0.0863,0.0885,0.0863,0.0857,0.0862,0.0842,0.0839,0.0848,0.0861,0.0875,0.0872,0.0869,0.0862,0.087,0.0868,0.0861,0.0852,0.0846,0.0856,0.0851,0.0851,0.088,0.0873,0.0869,0.0862,0.0871,0.086,0.0863,0.0856,0.085,0.0853,0.0853,0.0858
899s,0.1358,0.13,0.1316,0.1378,0.1368,0.1374,0.1361,0.135,0.1373,0.1302,0.129,0.1315,0.1397,0.1315,0.1323,0.1422,0.1423,0.1403,0.1409,0.1386,0.1384,0.1359,0.1369,0.1387,0.0818,0.0826,0.0827,0.0818,0.0821,0.0816,0.127,0.1246,0.124,0.1336,0.1316,0.135,0.0828,0.0822,0.0822,0.0831,0.0824,0.0809,0.1349,0.1274,0.1269,0.139,0.1343,0.1354,0.0817,0.0821,0.084,0.0819,0.0823,0.0813,0.0812,0.0816,0.0838,0.0799,0.081,0.081,0.0824,0.0816,0.0812,0.0812,0.0829,0.0808,0.0802,0.0807,0.0791,0.0795,0.0799,0.0808,0.0825,0.0818,0.0814,0.081,0.0817,0.0814,0.0811,0.0807,0.0797,0.0804,0.0802,0.0802,0.0821,0.0818,0.0814,0.0808,0.0815,0.0807,0.081,0.0819,0.08,0.0803,0.0805,0.0806
1798s,0.1354,0.1295,0.1321,0.1365,0.1359,0.1368,0.1356,0.1347,0.1365,0.1317,0.1291,0.1314,0.1398,0.1317,0.1325,0.1414,0.1415,0.1409,0.1402,0.1392,0.1387,0.1373,0.1385,0.1395,0.08,0.0805,0.0808,0.0797,0.08,0.0796,0.1274,0.1255,0.1255,0.1334,0.1318,0.1343,0.0809,0.0803,0.0803,0.0814,0.0807,0.0792,0.1359,0.1283,0.1286,0.1393,0.1342,0.1344,0.0798,0.0802,0.0822,0.0805,0.0804,0.0794,0.0794,0.0799,0.0821,0.0782,0.0794,0.0795,0.0809,0.0797,0.0795,0.0795,0.081,0.079,0.079,0.0791,0.0776,0.0775,0.0782,0.0794,0.0804,0.0802,0.0797,0.0793,0.0801,0.0797,0.0794,0.0789,0.0783,0.0794,0.0787,0.0788,0.0811,0.0801,0.0802,0.0793,0.0799,0.079,0.0793,0.08,0.0786,0.0786,0.0789,0.0791
2696s,0.1369,0.1304,0.1322,0.1386,0.136,0.1388,0.1378,0.1354,0.1382,0.1317,0.1301,0.1325,0.1413,0.1323,0.1348,0.1432,0.1433,0.1422,0.1419,0.141,0.1406,0.1379,0.1404,0.1413,0.0792,0.0793,0.0798,0.079,0.0789,0.0788,0.1298,0.1271,0.127,0.1341,0.132,0.1347,0.08,0.0793,0.0791,0.08,0.0792,0.0784,0.1384,0.1298,0.1301,0.1408,0.1349,0.1355,0.0788,0.0795,0.0811,0.0797,0.0796,0.0783,0.0786,0.079,0.0813,0.0776,0.0785,0.0785,0.0799,0.0796,0.0784,0.0788,0.0799,0.0782,0.078,0.0782,0.0769,0.0767,0.0771,0.0787,0.0794,0.079,0.0789,0.0786,0.0797,0.0788,0.0787,0.0778,0.0773,0.0784,0.078,0.0778,0.0797,0.0794,0.079,0.0782,0.0789,0.0781,0.0786,0.0791,0.0776,0.078,0.0779,0.0782
3595s,0.1394,0.1351,0.1358,0.1406,0.1391,0.1405,0.1397,0.1374,0.1408,0.136,0.1319,0.1357,0.1451,0.1354,0.1378,0.1448,0.1464,0.1451,0.1449,0.1439,0.1443,0.1424,0.142,0.1447,0.0782,0.0786,0.079,0.0785,0.0783,0.0779,0.1325,0.1296,0.1292,0.1365,0.1339,0.1372,0.0792,0.0786,0.0784,0.0795,0.0786,0.0774,0.1424,0.1329,0.1332,0.1425,0.1384,0.1381,0.0781,0.0786,0.0805,0.0788,0.0814,0.0778,0.0778,0.0784,0.0809,0.0767,0.0778,0.0776,0.0786,0.0782,0.0778,0.0776,0.0794,0.0773,0.0769,0.0776,0.0761,0.0763,0.0768,0.0777,0.0787,0.0784,0.0782,0.0781,0.0784,0.0778,0.0777,0.0773,0.0766,0.0777,0.0771,0.0771,0.0789,0.0785,0.078,0.0777,0.0783,0.0772,0.0776,0.0784,0.077,0.077,0.0771,0.0774
4493s,0.1443,0.1381,0.1405,0.1447,0.1426,0.1456,0.1438,0.142,0.145,0.1395,0.1363,0.138,0.1499,0.1396,0.141,0.1493,0.1502,0.1495,0.1485,0.1479,0.1483,0.1469,0.1474,0.1504,0.0779,0.0781,0.0783,0.0777,0.0777,0.0775,0.1362,0.1332,0.1328,0.141,0.1388,0.142,0.0786,0.0781,0.0781,0.0789,0.0782,0.0771,0.1451,0.1365,0.1367,0.1475,0.1416,0.1422,0.0776,0.0781,0.0799,0.0782,0.0825,0.0773,0.0772,0.078,0.0801,0.076,0.0772,0.0774,0.0784,0.0774,0.0771,0.077,0.0788,0.0768,0.0766,0.077,0.0758,0.0759,0.0762,0.0772,0.078,0.0776,0.0775,0.0774,0.0779,0.0774,0.0771,0.0766,0.0762,0.0771,0.0764,0.0763,0.0783,0.0778,0.0777,0.0771,0.0776,0.0766,0.0772,0.0777,0.0766,0.0764,0.0765,0.077
5392s,0.1491,0.143,0.1453,0.1509,0.1474,0.15,0.1489,0.1457,0.1487,0.1427,0.1396,0.143,0.1566,0.1455,0.1469,0.1554,0.1556,0.1534,0.1542,0.1535,0.1526,0.1508,0.152,0.1544,0.0774,0.0777,0.0782,0.0772,0.0773,0.077,0.1407,0.1373,0.1374,0.1443,0.142,0.1457,0.0784,0.0775,0.0775,0.0784,0.0777,0.0764,0.151,0.1403,0.1412,0.1524,0.1456,0.147,0.0771,0.0775,0.0799,0.0779,0.0788,0.077,0.077,0.0776,0.0798,0.076,0.0769,0.0771,0.0783,0.0772,0.0768,0.0769,0.0783,0.0766,0.0766,0.0768,0.0755,0.0755,0.0756,0.0772,0.0776,0.0774,0.0772,0.0772,0.0776,0.077,0.0769,0.0763,0.0759,0.0769,0.0764,0.0762,0.0781,0.0775,0.0773,0.0766,0.0772,0.0764,0.0768,0.0777,0.0761,0.0763,0.0764,0.0767
6291s,0.154,0.1477,0.1506,0.1558,0.1529,0.1553,0.1538,0.1512,0.1538,0.1477,0.1451,0.1484,0.1628,0.1509,0.1524,0.1606,0.1616,0.1599,0.1603,0.158,0.158,0.1569,0.1581,0.1611,0.0772,0.0774,0.0776,0.077,0.0771,0.0767,0.1446,0.1408,0.1407,0.1491,0.1468,0.1512,0.0779,0.0773,0.0771,0.078,0.0774,0.0763,0.1561,0.1456,0.1456,0.1571,0.1509,0.1539,0.0768,0.0771,0.0791,0.0775,0.0838,0.0767,0.0766,0.0773,0.0795,0.0757,0.0766,0.0769,0.0777,0.0768,0.0766,0.0767,0.0782,0.0761,0.076,0.0762,0.075,0.0752,0.0754,0.0768,0.0775,0.0771,0.077,0.0766,0.0773,0.0769,0.0766,0.076,0.0757,0.0767,0.0764,0.0758,0.0777,0.0773,0.0771,0.0764,0.0769,0.0762,0.0769,0.0772,0.0757,0.0759,0.076,0.0765
7189s,0.1609,0.1531,0.1564,0.1625,0.1597,0.1603,0.1593,0.1583,0.1598,0.1537,0.1504,0.1543,0.1694,0.1577,0.16,0.1675,0.1679,0.1667,0.1675,0.1641,0.1634,0.1625,0.1643,0.1682,0.0768,0.0772,0.0775,0.0767,0.077,0.0767,0.1501,0.1462,0.1459,0.1545,0.1515,0.1575,0.0777,0.0769,0.0769,0.0779,0.0773,0.076,0.1609,0.1493,0.1506,0.1626,0.1559,0.1592,0.0764,0.0771,0.0792,0.0774,0.082,0.0764,0.0764,0.0769,0.0793,0.0753,0.0763,0.0764,0.0775,0.0765,0.0763,0.0761,0.0777,0.076,0.0755,0.0763,0.075,0.075,0.0751,0.0764,0.0768,0.0784,0.0768,0.0767,0.0772,0.0767,0.0763,0.0757,0.0753,0.0765,0.0758,0.0756,0.0773,0.0769,0.0767,0.076,0.0767,0.0758,0.0763,0.077,0.0756,0.0757,0.0757,0.0761
8088s,0.1678,0.1602,0.1634,0.1708,0.1666,0.1679,0.1663,0.1634,0.1671,0.1604,0.1573,0.1621,0.1778,0.1648,0.1667,0.1774,0.175,0.1751,0.172,0.1709,0.1704,0.1699,0.1716,0.1758,0.0765,0.077,0.0772,0.0764,0.0767,0.0766,0.1564,0.1506,0.1508,0.1621,0.1583,0.1643,0.0774,0.0769,0.0767,0.0776,0.0769,0.0758,0.1684,0.1562,0.1563,0.171,0.1634,0.1655,0.0762,0.077,0.0788,0.077,0.0825,0.0761,0.0761,0.0768,0.0792,0.0754,0.0761,0.0762,0.0773,0.0764,0.0761,0.0763,0.0776,0.0756,0.0755,0.0759,0.0746,0.0747,0.0748,0.0762,0.0769,0.0768,0.0764,0.0763,0.0767,0.0764,0.076,0.0756,0.0753,0.0761,0.0756,0.0754,0.0771,0.0768,0.0766,0.0759,0.0763,0.0755,0.0761,0.0766,0.0755,0.0755,0.0755,0.0757
