"strain"	"query"	"array"	"r1"	"r2"	"r3"	"mean"	"sd"	"gi_score"
"PRE7g7-RPL15A-NRg-4"	"PRE7g7-RPL15A-NRg-4"	"PRE7g7"	"RPL15A-NRg-4"	0.751995184507305	0.593943286468347	0.631919207163767	0.65928589271314	0.082503346761801	-0.148301732496098
"PRE7g7-RPL15A-NRg-5"	"PRE7g7-RPL15A-NRg-5"	"PRE7g7"	"RPL15A-NRg-5"	0.9877595903984	1.13658070447608	0.968741604332679	1.03102729973572	0.0919051787861339	0.110929075557524
"PRE7g7-KRE33-TRg-1"	"PRE7g7-KRE33-TRg-1"	"PRE7g7"	"KRE33-TRg-1"	1.06953151509439	1.04177596205115	0.822252785592921	0.977853420912821	0.135466826068789	0.00425791400708375
"PRE7g7-PMI40-NRg-1"	"PRE7g7-PMI40-NRg-1"	"PRE7g7"	"PMI40-NRg-1"	0.997377030307634	0.877852861468813	1.11790785199888	0.997712581258442	0.120027847041543	0.0242577526147912
"PRE7g7-NOP19-NRg-3"	"PRE7g7-NOP19-NRg-3"	"PRE7g7"	"NOP19-NRg-3"	0.76864666741696	0.866331599762651	1.01197052955314	0.882316265577585	0.122446958423346	-0.036070836277725
"PRE7g7-SRP14-NRg-4"	"PRE7g7-SRP14-NRg-4"	"PRE7g7"	"SRP14-NRg-4"	0.961640682010089	1.24513256694457	0.877765909466166	1.02817971947361	0.192510124114661	0.08520395211152
"PRE7g7-SEC27-TRg-2"	"PRE7g7-SEC27-TRg-2"	"PRE7g7"	"SEC27-TRg-2"	0.642163773214074	0.735499751041723	0.804080644938553	0.727248056398117	0.0812732193630155	0.139294109093183
"PRE7g7-GPI14-TRg-3"	"PRE7g7-GPI14-TRg-3"	"PRE7g7"	"GPI14-TRg-3"	0.975061635821702	1.17781440487229	0.905331512560094	1.01940251775136	0.14154969801603	0.0957438564870211
"PRE7g7-PAH1-TRg-7"	"PRE7g7-PAH1-TRg-7"	"PRE7g7"	"PAH1-TRg-7"	0.99847416194378	0.849560403024153	1.09591011260611	0.981314892524681	0.124068026695142	0.116463375064944
"PRE7g7-PAH1-TRg-6"	"PRE7g7-PAH1-TRg-6"	"PRE7g7"	"PAH1-TRg-6"	1.14631953468773	0.967500043945712	0.96558269324812	1.02646742396052	0.103799399770662	0.148544573865403
"PRE7g7-PAH1-TRg-5"	"PRE7g7-PAH1-TRg-5"	"PRE7g7"	"PAH1-TRg-5"	1.15994993329913	0.871280974816141	0.917206072863798	0.982812326993021	0.155114723136019	0.0449984182677378
"PRE7g7-PAH1-TRg-3"	"PRE7g7-PAH1-TRg-3"	"PRE7g7"	"PAH1-TRg-3"	1.01547963802037	0.919722216489367	0.955811917628284	0.963671257379341	0.0483600854068574	0.0232433182709278
"PRE7g7-COG3-TRg-1"	"PRE7g7-COG3-TRg-1"	"PRE7g7"	"COG3-TRg-1"	0.747489414144864	0.895128396753271	0.926415048974541	0.856344286624226	0.0955601962046813	0.0266522914146796
"PRE7g7-HTS1-NRg-5"	"PRE7g7-HTS1-NRg-5"	"PRE7g7"	"HTS1-NRg-5"	1.06760230552787	1.05956347535331	1.05935854800977	1.06217477629698	0.00470149486526524	0.0315218592904132
"PRE7g7-MSN5-TRg-7"	"PRE7g7-MSN5-TRg-7"	"PRE7g7"	"MSN5-TRg-7"	NA	NA	NA	NA	NA	NA
"PRE7g7-ERG26-TRg-1"	"PRE7g7-ERG26-TRg-1"	"PRE7g7"	"ERG26-TRg-1"	0.955172918791222	0.948749135491333	0.683339904738741	0.862420653007099	0.155121732997788	0.0178053768470828
"PRE7g7-SMD2-TRg-5"	"PRE7g7-SMD2-TRg-5"	"PRE7g7"	"SMD2-TRg-5"	0.922833921575331	1.00984214268028	1.0063585311706	0.979678198475404	0.0492593925003818	-0.0190826168817828
"PRE7g7-SMD2-TRg-4"	"PRE7g7-SMD2-TRg-4"	"PRE7g7"	"SMD2-TRg-4"	1.07579698657824	0.843993819578179	1.03327222314906	0.984354343101824	0.123401362630445	-0.00432779802986671
"PRE7g7-SMD2-TRg-1"	"PRE7g7-SMD2-TRg-1"	"PRE7g7"	"SMD2-TRg-1"	0.926319964724903	0.999380774599399	0.782740042455182	0.902813593926495	0.110216667555683	-0.10605790394574
"PRE7g7-PRE7-TRg-4"	"PRE7g7-PRE7-TRg-4"	"PRE7g7"	"PRE7-TRg-4"	0.651784682564272	0.745772343187164	0.592030255511158	0.663195760420865	0.0775036573597084	-0.173372094111857
"PRE7g7-PRE7-TRg-7"	"PRE7g7-PRE7-TRg-7"	"PRE7g7"	"PRE7-TRg-7"	0.828789389771012	0.82469458824194	0.915336421240351	0.856273466417768	0.0511909789335142	-0.182207166118397
"PRE7g7-SEC6-TRg-3"	"PRE7g7-SEC6-TRg-3"	"PRE7g7"	"SEC6-TRg-3"	1.05621692397358	1.01901447579144	0.939615480074928	1.00494895994665	0.0595596611121799	0.132907598321876
