"strain"	"gi_score_method1"	"zscore_method1"	"gi_score_method2"	"qval_method2"
"1"	"PRE7g7-RPL15A-NRg-4"	-0.00259987943283585	-0.0782850037511959	-0.00137423312372864	0.975904549600688
"2"	"PRE7g7-RPL15A-NRg-5"	-0.0213139995128217	-0.317815327730794	-0.021023008278185	0.841954805275872
"3"	"PRE7g7-KRE33-TRg-1"	-0.00189691841208472	-0.0692874938321682	-0.00147508440525583	0.798111614821478
"4"	"PRE7g7-PMI40-NRg-1"	0.0426957514279835	0.501473867549181	0.0419739163898249	0.584154310885177
"5"	"PRE7g7-NOP19-NRg-3"	0.0105044365225171	0.089442948880338	0.0109157664779373	0.958614091961324
"6"	"PRE7g7-SRP14-NRg-4"	0.0286604312871777	0.321829579379843	0.0290264961395257	0.843898691494388
"7"	"PRE7g7-SEC27-TRg-2"	0.013334219142053	0.125662591842562	0.0156635882022975	0.964344030914076
"8"	"PRE7g7-GPI14-TRg-3"	-0.024775338132042	-0.362118536074082	-0.0254434578370773	0.376651513895156
"9"	"PRE7g7-PAH1-TRg-7"	0.193092405087943	2.42646734961755	0.19393934562343	0.377787894126485
"10"	"PRE7g7-PAH1-TRg-6"	0.166952132548734	2.09188640627263	0.16766279462676	0.234110770426827
"11"	"PRE7g7-PAH1-TRg-5"	0.191729285472075	2.40902017701118	0.19258680977164	0.523064444860926
"12"	"PRE7g7-PAH1-TRg-3"	0.137781807292787	1.71852247415702	0.138606589534304	0.283883071106147
"13"	"PRE7g7-COG3-TRg-1"	-0.0239465411055378	-0.351510395299983	-0.0233557828527935	0.472768940407038
"14"	"PRE7g7-HTS1-NRg-5"	0.00684806650725278	0.042643447188447	0.00701434324733304	0.980322739230261
"15"	"PRE7g7-MSN5-TRg-7"	NA	NA	NA	NA
"16"	"PRE7g7-ERG26-TRg-1"	0.0544727687735811	0.65221313652081	0.0541692394764545	0.724797434240625
"17"	"PRE7g7-SMD2-TRg-5"	-0.00715523442401844	-0.136591012915206	-0.00704290613594505	0.922799141687826
"18"	"PRE7g7-SMD2-TRg-4"	0.0035937436015121	0.000989924788537287	0.00297985450717238	0.994094879261678
"19"	"PRE7g7-SMD2-TRg-1"	0.0533287009855004	0.637569705423738	0.0532592983925711	0.686350300618265
"20"	"PRE7g7-PRE7-TRg-4"	0.0402519388801874	0.470194426741006	0.0414318118225297	0.691041736998277
"21"	"PRE7g7-PRE7-TRg-7"	-0.00582296861600085	-0.119538751881428	-0.00615747846960206	0.889854250093321
"22"	"PRE7g7-SEC6-TRg-3"	-0.0639987759992711	-0.864156715789455	-0.0629439228545022	0.301841692579328
"23"	"PRE7g7-ESF2-NRg-1"	0.0449414342347193	0.530217357916549	0.0448527149817095	0.707422393866412
"24"	"PRE7g7-ESF2-NRg-3"	0.00670465818503563	0.0408079004603494	0.00736987845901845	0.97832187882919
"25"	"PRE7g7-AFG2-TRg-2"	-0.0164499008374395	-0.255557571202392	-0.0166599845728481	0.806594288416797
"26"	"PRE7g7-RRP36-TRg-3"	0.00117097247313624	-0.0300201975590759	0.00223660915748758	0.989690434683366
"27"	"PRE7g7-RRP36-TRg-5"	0.0347106489784382	0.399268999322681	0.0349109238586012	0.310834529820912
"28"	"PRE7g7-GCR1-NRg-2"	-0.011474886593894	-0.191880157117932	-0.0118068026202828	0.763458956194705
"29"	"PRE7g7-PRE4-NRg-4"	-0.0338029150561102	-0.477666497513391	-0.0328803263493653	0.299205576428825
"30"	"PRE7g7-PRE4-NRg-9"	0.0243676101495893	0.266883857460878	0.024082856598139	0.396999261082667
"31"	"PRE7g7-DSN1-NRg-2"	-0.0387561728014607	-0.541065440526861	-0.0388367651789273	0.592393799840069
"32"	"PRE7g7-GPI11-TRg-3"	-0.0681710977362592	-0.917560112429872	-0.0677795908371047	0.27092142694212
"33"	"PRE7g7-POP3-TRg-1"	-0.00757266467913797	-0.141933887911215	-0.00792882124436152	0.860731777707735
"34"	"PRE7g7-MNE1-TRg-5"	-0.176581041145359	-2.30514706583213	-0.176017608439011	0.376632641999407
"35"	"PRE7g7-RRP12-NRg-1"	0.0700558647477683	0.851668094132958	0.0702692145330804	0.571979576508341
"36"	"PRE7g7-RSC6-TRg-2"	0.0697707930595591	0.848019335145503	0.0705331946340881	0.437832053778763
"37"	"PRE7g7-CDC25-TRg-1"	-0.0263667764511713	-0.382488061039473	-0.025172008451465	0.840647937681567
"38"	"PRE7g7-CDC25-TRg-9"	-0.193805236505753	-2.52560718243549	-0.19280545827119	0.271491050411005
"39"	"PRE7g7-YPP1-NRg-3"	0.0597842834522839	0.72019756893731	0.0595985707001159	0.563230561896985
"40"	"PRE7g7-NFS1-NRg-9"	-0.0229255522185177	-0.338442305652047	-0.0227302463870264	0.611920051835247
"41"	"PRE7g7-NFS1-NRg-8"	0.0571414475620259	0.68637074008761	0.0572171112165335	0.45676265172097
"42"	"PRE7g7-UBA2-TRg-1"	-0.00388432024720975	-0.0947251314774593	-0.0042810132645638	0.874671451204213
"43"	"PRE7g7-ARP2-NRg-3"	-0.0637577552992788	-0.861071784940011	-0.0618269976086436	0.689107001652894
"44"	"PRE7g7-MAK16-TRg-1"	0.0697432310032337	0.847666556160813	0.0698689199116448	0.35726767988804
"45"	"PRE7g7-CEP3-NRg-1"	-0.0466857009656618	-0.642558988823996	-0.0457223502691456	0.632881097167172
"46"	"PRE7g7-GUK1-TRg-5"	0.0574170140179138	0.689897837390322	0.0574867467453173	0.563926621704404
"47"	"PRE7g7-GUK1-TRg-2"	0.00254356777693254	-0.0124517414197557	0.00302218807584805	0.974744817843316
"48"	"PRE7g7-GPI12-NRg-6"	-0.0777974330789234	-1.04077184846178	-0.0772634961835392	0.463788898839536
"49"	"PRE7g7-RPS5-NRg-5"	-0.172129349768374	-2.2481678932486	-0.171348640209778	0.470625329824517
"50"	"PRE7g7-RPS5-NRg-2"	-0.0309486138286901	-0.441133030013068	-0.0308387049066881	0.546975946727453
"51"	"PRE7g7-RPC19-NRg-1"	0.0678267845646896	0.82313710811025	0.0675179677387799	0.465898753547101
"52"	"PRE7g7-TIM54-TRg-1"	0.0225531429383961	0.243659686776397	0.0220288759965153	0.833879460322541
"53"	"PRE7g7-TEN1-TRg-2"	0.0694740669292354	0.84422140578383	0.070068593223186	0.603146546410347
"54"	"PRE7g7-SAH1-NRg-4"	0.0733089832474449	0.893306200805411	0.0733007589900964	0.484034541954132
"55"	"PRE7g7-SAH1-NRg-5"	0.106677686538825	1.3204070356831	0.107167710107378	0.463788898839536
"56"	"PRE7g7-SAH1-NRg-3"	0.11266832754483	1.39708390720476	0.112710068520568	0.325512102419113
"57"	"PRE7g7-ATP15-NRg-5"	0.0901878156298047	1.10934586345927	0.0910614002175642	0.373589901543738
"58"	"PRE7g7-SCD5-TRg-5"	0.0383318520371698	0.445618383538802	0.0384616955736132	0.580244960128346
"59"	"PRE7g7-ARB1-NRg-2"	0.0086072682881938	0.0651602511168851	0.00879716881350249	0.961096188829792
"60"	"PRE7g7-ARB1-NRg-4"	-0.0241681896788138	-0.354347373706635	-0.0244061462572617	0.548335714522582
"61"	"PRE7g7-PUP2-TRg-1"	0.0313004194131686	0.355619958431497	0.0319831509471292	0.651943304877515
"62"	"PRE7g7-CCT8-TRg-2"	NA	NA	NA	NA
"63"	"PRE7g7-MCM4-TRg-1"	0.0588846195391562	0.708682371446689	0.0596164010804428	0.760384858177923
"64"	"PRE7g7-LSM4-TRg-1"	-0.0549238612384332	-0.748002856379551	-0.0554783956283698	0.365709730553159
"65"	"PRE7g7-NOP53-NRg-1"	-0.023642551757932	-0.347619500798551	-0.0228675990735991	0.387847143270843
"66"	"PRE7g7-ATP3-TRg-4"	-0.020921763776074	-0.31279492855103	-0.0203532101519347	0.780825066537748
"67"	"PRE7g7-AFG2-NRg-3"	-0.0171281939786312	-0.264239345988936	-0.0176975506298622	0.754931465980198
"68"	"PRE7g7-PRO3-NRg-3"	-0.0775907352220043	-1.03812623090551	-0.0782238595581601	0.616291350610058
"69"	"PRE7g7-NRD1-NRg-10"	0.109354698313101	1.35467129683184	0.109652959394805	0.416378408177685
"70"	"PRE7g7-SEC61-TRg-2"	-0.0067704006753595	-0.131665355064312	-0.00690482919146903	0.80515368507659
"71"	"PRE7g7-RHO3-TRg-4"	0.0275299475507708	0.307360016585661	0.0270268525749224	0.726557552274354
"72"	"PRE7g7-SNF2-TRg-6"	-0.016386485190916	-0.254745886213078	-0.0168908629749473	0.838269042035837
"73"	"PRE7g7-SMD2-NRg-3"	0.0257607258713791	0.284714963532398	0.0261054452931361	0.918729173228079
"74"	"PRE7g7-RSC4-TRg-2"	0.0635662350123258	0.768604444525375	0.0632236812403996	0.550560037133167
"75"	"PRE7g7-RSC4-TRg-1"	0.195511216733851	2.45742679279273	0.195724301625948	0.34401856313547
"76"	"PRE7g7-TIF34-TRg-2"	-0.00934094536523356	-0.164566896773883	-0.00750670893774874	0.921464722204066
"77"	"PRE7g7-BET1-NRg-1"	0.0821687188523058	1.00670588675033	0.0830225793762494	0.315657458910862
"78"	"PRE7g7-CDC8-NRg-2"	-0.0314577560031417	-0.447649766545527	-0.0313217757870946	0.263535177341192
"79"	"PRE7g7-PRP42-TRg-2"	0.0689174268957745	0.837096723085149	0.0691258512571542	0.685900472078454
"80"	"PRE7g7-RRB1-TRg-2"	-0.0424250969395893	-0.58802562800596	-0.0427527692123381	0.595108186331225
"81"	"PRE7g7-SPC24-TRg-1"	-0.0193454566177886	-0.292619074025053	-0.0190203358831532	0.832531285556474
"82"	"PRE7g7-ILS1-NRg-1"	0.044931420116421	0.530089182774458	0.0447930243593047	0.466970346643997
"83"	"PRE7g7-GFA1-TRg-2"	0.0157458106844024	0.156529621709661	0.0158367907230728	0.931773101372535
"84"	"PRE7g7-SEC21-NRg-10"	0.122102095502909	1.51783088786369	0.122531493657582	0.372369780545556
"85"	"PRE7g7-RPC10-NRg-1"	0.0187745966081231	0.195296396234612	0.01927781709049	0.876694945282759
"86"	"PRE7g7-RPB10-TRg-3"	0.0818317867988887	1.00239334394473	0.0825126109531965	0.609951434732636
"87"	"PRE7g7-RPB10-TRg-2"	-0.00520996593885725	-0.111692658705313	-0.00472594228455003	0.802799472279987
"88"	"PRE7g7-YNL181W-TRg-1"	0.0708594283590753	0.861953261233089	0.0710026743929629	0.450680393926808
"89"	"PRE7g7-RAD3-NRg-1"	0.0254319692263657	0.280507061405344	0.0250228771340802	0.776106867642212
"90"	"PRE7g7-NOP10-TRg-1"	0.0833518377857336	1.02184915077873	0.0838613128789457	0.193675357065904
"91"	"PRE7g7-BFR2-TRg-3"	0.0110394544980295	0.0962908812683774	0.011033602910275	0.853378103787983
"92"	"PRE7g7-MCM2-TRg-6"	-0.0478140932650681	-0.657001782388302	-0.0475914998401325	0.517522605437328
"93"	"PRE7g7-MCM2-TRg-4"	0.0166210981804563	0.167732814625437	0.0163016871277233	0.919514442372195
"94"	"PRE7g7-MPP10-TRg-1"	-0.0544842315560444	-0.742375841066859	-0.053552062892687	0.330201558941371
"95"	"PRE7g7-RET2-TRg-4"	0.122947359945279	1.52864980239795	0.124622677915153	0.303333093485135
"96"	"PRE7g7-RET2-TRg-1"	0.176869904893776	2.21882837377151	0.178331019436002	0.320511724458106
"97"	"PRE7g7-RPS2-NRg-1"	-0.105407221432471	-1.39416177655175	-0.104153372053294	0.46756075307322
"98"	"PRE7g7-RPS2-NRg-2"	-0.140798356726452	-1.84714861572669	-0.13984332537624	0.312072559093089
"99"	"PRE7g7-ORC4-NRg-3"	-0.0378910330104063	-0.52999213258862	-0.0376701564483654	0.454312593921717
"100"	"PRE7g7-TIP20-TRg-7"	0.0312593283861828	0.355094016150241	0.0313253107225209	0.794516396389536
"101"	"PRE7g7-SMT3-TRg-1"	-0.0596647764978768	-0.808683933726534	-0.0598122397348659	0.422576103784521
