"strain"	"query"	"array"	"r1"	"r2"	"r3"	"mean"	"sd"	"gi_score"
"PRE7g7-RPL15A-NRg-4"	"PRE7g7-RPL15A-NRg-4"	"PRE7g7"	"RPL15A-NRg-4"	NA	0.0957676992400327	0.130965393466527	NA	NA	NA
"PRE7g7-RPL15A-NRg-5"	"PRE7g7-RPL15A-NRg-5"	"PRE7g7"	"RPL15A-NRg-5"	0.026141449321371	NA	NA	NA	NA	NA
"PRE7g7-KRE33-TRg-1"	"PRE7g7-KRE33-TRg-1"	"PRE7g7"	"KRE33-TRg-1"	0.208921057448197	0.270105188774426	0.0448922442927293	0.174639496838451	0.116454440185459	-0.023308744426909
"PRE7g7-PMI40-NRg-1"	"PRE7g7-PMI40-NRg-1"	"PRE7g7"	"PMI40-NRg-1"	0.232785411918674	0.324878896312708	0.290791397661	0.282818568630794	0.0465615395902799	0.073750796971874
"PRE7g7-NOP19-NRg-3"	"PRE7g7-NOP19-NRg-3"	"PRE7g7"	"NOP19-NRg-3"	0.217055226216124	0.495416056939768	0.165714082203364	0.292728455119752	0.177399763854963	0.0861615617636944
"PRE7g7-SRP14-NRg-4"	"PRE7g7-SRP14-NRg-4"	"PRE7g7"	"SRP14-NRg-4"	NA	0.377104542840311	0.295747264851414	NA	NA	NA
"PRE7g7-SEC27-TRg-2"	"PRE7g7-SEC27-TRg-2"	"PRE7g7"	"SEC27-TRg-2"	0.0399949246459866	0.279989745199628	NA	NA	NA	NA
"PRE7g7-GPI14-TRg-3"	"PRE7g7-GPI14-TRg-3"	"PRE7g7"	"GPI14-TRg-3"	0.366710410086795	0.332349355378842	0.095946130022265	0.265001965162634	0.147411251491928	0.0353607406518346
"PRE7g7-PAH1-TRg-7"	"PRE7g7-PAH1-TRg-7"	"PRE7g7"	"PAH1-TRg-7"	0.18795445559875	0.309147288803804	0.445819963167287	0.314307235856614	0.129010169322367	0.177035820401881
"PRE7g7-PAH1-TRg-6"	"PRE7g7-PAH1-TRg-6"	"PRE7g7"	"PAH1-TRg-6"	0.0578357459697314	0.194985972342208	0.392563572353745	0.215128430221895	0.168270521470689	0.0845525436665932
"PRE7g7-PAH1-TRg-5"	"PRE7g7-PAH1-TRg-5"	"PRE7g7"	"PAH1-TRg-5"	NA	0.158404887877966	NA	NA	NA	NA
"PRE7g7-PAH1-TRg-3"	"PRE7g7-PAH1-TRg-3"	"PRE7g7"	"PAH1-TRg-3"	0.121758926872822	0.288877331114012	-0.0908225081338798	0.106604583284318	0.190303002021559	-0.0215183106845328
"PRE7g7-COG3-TRg-1"	"PRE7g7-COG3-TRg-1"	"PRE7g7"	"COG3-TRg-1"	0.236656684993261	NA	NA	NA	NA	NA
"PRE7g7-HTS1-NRg-5"	"PRE7g7-HTS1-NRg-5"	"PRE7g7"	"HTS1-NRg-5"	0.126035258484298	0.440043959850092	0.0503237766128775	0.205467664982422	0.206646039660029	-0.000394962060647264
"PRE7g7-MSN5-TRg-7"	"PRE7g7-MSN5-TRg-7"	"PRE7g7"	"MSN5-TRg-7"	NA	NA	NA	NA	NA	NA
"PRE7g7-ERG26-TRg-1"	"PRE7g7-ERG26-TRg-1"	"PRE7g7"	"ERG26-TRg-1"	NA	0.271674945311503	0.240152871024068	NA	NA	NA
"PRE7g7-SMD2-TRg-5"	"PRE7g7-SMD2-TRg-5"	"PRE7g7"	"SMD2-TRg-5"	0.111963099352621	0.0385133355673601	0.333750883508405	0.161409106142795	0.153704206576075	-0.0679446149759823
"PRE7g7-SMD2-TRg-4"	"PRE7g7-SMD2-TRg-4"	"PRE7g7"	"SMD2-TRg-4"	0.295494529296805	0.314634237643938	-0.0013994914720612	0.202909758489561	0.177195610340137	-0.0319045458484581
"PRE7g7-SMD2-TRg-1"	"PRE7g7-SMD2-TRg-1"	"PRE7g7"	"SMD2-TRg-1"	0.186365448369245	0.326555502766947	0.230695597493598	0.247872182876597	0.0716560475610552	0.0962699401990234
"PRE7g7-PRE7-TRg-4"	"PRE7g7-PRE7-TRg-4"	"PRE7g7"	"PRE7-TRg-4"	NA	NA	NA	NA	NA	NA
"PRE7g7-PRE7-TRg-7"	"PRE7g7-PRE7-TRg-7"	"PRE7g7"	"PRE7-TRg-7"	0.0189699688369931	0.311355425271864	0.116973646539644	0.149099680216167	0.148816582790682	0.017489659525839
"PRE7g7-SEC6-TRg-3"	"PRE7g7-SEC6-TRg-3"	"PRE7g7"	"SEC6-TRg-3"	-0.0481981905271107	NA	0.197717836550013	NA	NA	NA
"PRE7g7-ESF2-NRg-1"	"PRE7g7-ESF2-NRg-1"	"PRE7g7"	"ESF2-NRg-1"	NA	NA	0.199823393511065	NA	NA	NA
"PRE7g7-ESF2-NRg-3"	"PRE7g7-ESF2-NRg-3"	"PRE7g7"	"ESF2-NRg-3"	0.0589984531189472	0.272166094929361	0.177068942154909	0.169411163401073	0.106789943629235	-0.0229693002957599
"PRE7g7-AFG2-TRg-2"	"PRE7g7-AFG2-TRg-2"	"PRE7g7"	"AFG2-TRg-2"	0.029466739583966	0.367867941643412	0.210823634445183	0.20271943855752	0.169346100876456	0.0127337284471402
