"strain"	"gi_score_method1"	"zscore_method1"	"gi_score_method2"	"qval_method2"
"1"	"PRE7g7-RPL15A-NRg-4"	NA	NA	NA	NA
"2"	"PRE7g7-RPL15A-NRg-5"	NA	NA	NA	NA
"3"	"PRE7g7-KRE33-TRg-1"	-0.023308744426909	-0.343346952700913	-0.0200767282978696	0.842206252868529
"4"	"PRE7g7-PMI40-NRg-1"	0.073750796971874	0.898961170640959	0.0773432121946331	0.375612328020504
"5"	"PRE7g7-NOP19-NRg-3"	0.0861615617636944	1.05781205428996	0.0896665800963667	0.662393137668991
"6"	"PRE7g7-SRP14-NRg-4"	NA	NA	NA	NA
"7"	"PRE7g7-SEC27-TRg-2"	NA	NA	NA	NA
"8"	"PRE7g7-GPI14-TRg-3"	0.0353607406518346	0.407589811013507	0.0395856724232461	0.885302954945703
"9"	"PRE7g7-PAH1-TRg-7"	0.177035820401881	2.22095199995537	0.178332249983938	0.489796493811204
"10"	"PRE7g7-PAH1-TRg-6"	0.0845525436665932	1.0372175179484	0.0856583229169963	0.772622059569561
"11"	"PRE7g7-PAH1-TRg-5"	NA	NA	NA	NA
"12"	"PRE7g7-PAH1-TRg-3"	-0.0215183106845328	-0.320430397044416	-0.0204948528170787	0.906255703561472
"13"	"PRE7g7-COG3-TRg-1"	NA	NA	NA	NA
"14"	"PRE7g7-HTS1-NRg-5"	-0.000394962060647264	-0.0500632882630384	0.00307379662503995	0.98620231806641
"15"	"PRE7g7-MSN5-TRg-7"	NA	NA	NA	NA
"16"	"PRE7g7-ERG26-TRg-1"	NA	NA	NA	NA
"17"	"PRE7g7-SMD2-TRg-5"	-0.0679446149759823	-0.914661259119481	-0.0637274458589553	0.807221258197074
"18"	"PRE7g7-SMD2-TRg-4"	-0.0319045458484581	-0.453368427959583	-0.0275071492999423	0.888984736581717
"19"	"PRE7g7-SMD2-TRg-1"	0.0962699401990234	1.18719367368612	0.0980562739806188	0.221451649216347
"20"	"PRE7g7-PRE7-TRg-4"	NA	NA	NA	NA
"21"	"PRE7g7-PRE7-TRg-7"	0.017489659525839	0.178849916555235	0.0186272779978112	0.9385119148843
"22"	"PRE7g7-SEC6-TRg-3"	NA	NA	NA	NA
"23"	"PRE7g7-ESF2-NRg-1"	NA	NA	NA	NA
"24"	"PRE7g7-ESF2-NRg-3"	-0.0229693002957599	-0.33900225669813	-0.0199176645782606	0.764026450302976
"25"	"PRE7g7-AFG2-TRg-2"	0.0127337284471402	0.117976645076995	0.0157242037214776	0.966312663775257
"26"	"PRE7g7-RRP36-TRg-3"	-0.0562831964529347	-0.765401590754171	-0.0540468857592112	0.632954738660031
"27"	"PRE7g7-RRP36-TRg-5"	-0.0169093332656921	-0.261438050643355	-0.0146636046137064	0.920261960966177
