row	strain	query	array	present	category
1	CC8-CC5	CC8	CC5	yes	wt
2	CC8-CC8	CC8	CC8	yes	wt
3	CC8-CC16	CC8	CC16	yes	wt
4	CC8-CC17	CC8	CC17	yes	wt
5	CC8-CC19	CC8	CC19	yes	wt
6	CC8-CC20	CC8	CC20	yes	wt
7	CC8-CC23	CC8	CC23	yes	wt
8	CC8-CC25	CC8	CC25	yes	wt
9	CC8-CC27	CC8	CC27	yes	wt
10	CC8-CC28	CC8	CC28	yes	wt
11	CC8-CC30	CC8	CC30	yes	wt
12	CC8-CC32	CC8	CC32	yes	wt
13	CC8-CC34	CC8	CC34	yes	wt
14	CC8-CC35	CC8	CC35	yes	wt
15	CC8-CC36	CC8	CC36	yes	wt
16	CC8-CC11	CC8	CC11	yes	wt
17	CC8-CC14	CC8	CC14	yes	wt
18	CC8-CC15	CC8	CC15	yes	wt
19	CC8-CC2	CC8	CC2	yes	wt
20	CC8-CC22	CC8	CC22	yes	wt
21	CC8-CC26	CC8	CC26	yes	wt
22	CC8-CC7	CC8	CC7	yes	wt
23	CC16-CC5	CC16	CC5	no	wt
24	CC16-CC8	CC16	CC8	yes	wt
25	CC16-CC16	CC16	CC16	no	wt
26	CC16-CC17	CC16	CC17	yes	wt
27	CC16-CC19	CC16	CC19	yes	wt
28	CC16-CC20	CC16	CC20	yes	wt
29	CC16-CC23	CC16	CC23	yes	wt
30	CC16-CC25	CC16	CC25	yes	wt
31	CC16-CC27	CC16	CC27	yes	wt
32	CC16-CC28	CC16	CC28	yes	wt
33	CC16-CC30	CC16	CC30	yes	wt
34	CC16-CC32	CC16	CC32	yes	wt
35	CC16-CC34	CC16	CC34	yes	wt
36	CC16-CC35	CC16	CC35	yes	wt
37	CC16-CC36	CC16	CC36	yes	wt
38	CC16-CC11	CC16	CC11	yes	wt
39	CC16-CC14	CC16	CC14	no	wt
40	CC16-CC15	CC16	CC15	no	wt
41	CC16-CC2	CC16	CC2	no	wt
42	CC16-CC22	CC16	CC22	yes	wt
43	CC16-CC26	CC16	CC26	yes	wt
44	CC16-CC7	CC16	CC7	yes	wt
45	CC17-CC5	CC17	CC5	no	wt
46	CC17-CC8	CC17	CC8	yes	wt
47	CC17-CC16	CC17	CC16	no	wt
48	CC17-CC17	CC17	CC17	yes	wt
49	CC17-CC19	CC17	CC19	yes	wt
50	CC17-CC20	CC17	CC20	yes	wt
51	CC17-CC23	CC17	CC23	yes	wt
52	CC17-CC25	CC17	CC25	yes	wt
53	CC17-CC27	CC17	CC27	yes	wt
54	CC17-CC28	CC17	CC28	yes	wt
55	CC17-CC30	CC17	CC30	yes	wt
56	CC17-CC32	CC17	CC32	yes	wt
57	CC17-CC34	CC17	CC34	yes	wt
58	CC17-CC35	CC17	CC35	yes	wt
59	CC17-CC36	CC17	CC36	yes	wt
60	CC17-CC11	CC17	CC11	yes	wt
61	CC17-CC14	CC17	CC14	no	wt
62	CC17-CC15	CC17	CC15	no	wt
63	CC17-CC2	CC17	CC2	no	wt
64	CC17-CC22	CC17	CC22	yes	wt
65	CC17-CC26	CC17	CC26	yes	wt
66	CC17-CC7	CC17	CC7	yes	wt
67	CC8_BC2-CC5	CC8_BC2	CC5	yes	wt
68	CC8_BC2-CC8	CC8_BC2	CC8	yes	wt
69	CC8_BC2-CC16	CC8_BC2	CC16	yes	wt
70	CC8_BC2-CC17	CC8_BC2	CC17	yes	wt
71	CC8_BC2-CC19	CC8_BC2	CC19	yes	wt
